cif_id,X_max,X_mean,X_min,X_range,X_std,X_wmean,atomic_mass_max,atomic_mass_mean,atomic_mass_min,atomic_mass_range,atomic_mass_std,atomic_mass_wmean,atomic_radius_max,atomic_radius_mean,atomic_radius_min,atomic_radius_range,atomic_radius_std,atomic_radius_wmean,density,group_max,group_mean,group_min,group_range,group_std,group_wmean,lattice_a,lattice_alpha,lattice_b,lattice_b_over_a,lattice_beta,lattice_c,lattice_c_over_a,lattice_gamma,mendeleev_no_max,mendeleev_no_mean,mendeleev_no_min,mendeleev_no_range,mendeleev_no_std,mendeleev_no_wmean,num_elements,num_sites,row_max,row_mean,row_min,row_range,row_std,row_wmean,volume,volume_per_atom
mp-aaaaaaab,0.79,0.79,0.79,0.0,0.0,0.79,132.9054519,132.9054519,132.9054519,0.0,0.0,132.9054519,2.6,2.6,2.6,0.0,0.0,2.6,1.801930243001895 g cm^-3,1.0,1.0,1.0,0.0,0.0,1.0,5.41866063,109.47122598,5.41866088,1.0000000461368626,109.47122702,5.41866011,0.9999999040353262,109.47121342999999,8.0,8.0,8.0,0.0,0.0,8.0,1,1,6.0,6.0,6.0,0.0,0.0,6.0,122.47682500539788,122.47682500539788
mp-aaaaaaac,2.2,2.2,2.2,0.0,0.0,2.2,106.42,106.42,106.42,0.0,0.0,106.42,1.4,1.4,1.4,0.0,0.0,1.4,11.75902521032098 g cm^-3,10.0,10.0,10.0,0.0,0.0,10.0,2.76995006,59.99999839,2.76995133,1.0000004584920206,59.99998302000001,2.76995044,1.0000001371865888,60.00000405,69.0,69.0,69.0,0.0,0.0,69.0,1,1,5.0,5.0,5.0,0.0,0.0,5.0,15.027994608980713,15.027994608980713
mp-aaaaaaad,0.79,0.79,0.79,0.0,0.0,0.79,132.9054519,132.9054519,132.9054519,0.0,0.0,132.9054519,2.6,2.6,2.6,0.0,0.0,2.6,1.7631088402930721 g cm^-3,1.0,1.0,1.0,0.0,0.0,1.0,5.107692720000001,104.42291297000001,5.107692489999999,0.9999999549698827,104.42291566,10.25323166,2.0074096509078956,89.99998722,8.0,8.0,8.0,0.0,0.0,8.0,1,2,6.0,6.0,6.0,0.0,0.0,6.0,250.34721623583067,125.17360811791534
mp-aaaaaaae,1.14,1.14,1.14,0.0,0.0,1.14,144.242,144.242,144.242,0.0,0.0,144.242,1.85,1.85,1.85,0.0,0.0,1.85,6.697788719689733 g cm^-3,3.0,3.0,3.0,0.0,0.0,3.0,3.5948183699999996,109.47121183000002,3.59482031,1.0000005396656522,109.47122265000002,3.59481981,1.0000004005765668,109.47122468,30.0,30.0,30.0,0.0,0.0,30.0,1,1,6.0,6.0,6.0,0.0,0.0,6.0,35.760978147965915,35.760978147965915
mp-aaaaaaah,2.58,2.58,2.58,0.0,0.0,2.58,32.065,32.065,32.065,0.0,0.0,32.065,1.0,1.0,1.0,0.0,0.0,1.0,2.0907946407093 g cm^-3,16.0,16.0,16.0,0.0,0.0,16.0,6.43992909,114.75185787000001,6.43992998,1.0000001382002794,114.75184783,6.43993009,1.000000155281213,114.75183455,94.0,94.0,94.0,0.0,0.0,94.0,1,6,3.0,3.0,3.0,0.0,0.0,3.0,152.7988951199883,25.46648251999805
mp-aaaaaaai,1.9,1.9,1.9,0.0,0.0,1.9,186.207,186.207,186.207,0.0,0.0,186.207,1.35,1.35,1.35,0.0,0.0,1.35,20.873418997859947 g cm^-3,7.0,7.0,7.0,0.0,0.0,7.0,2.76533582,90.0,2.76533694,1.0000004050141007,90.0,4.47357663,1.6177335850659904,119.99998664000003,58.0,58.0,58.0,0.0,0.0,58.0,1,2,6.0,6.0,6.0,0.0,0.0,6.0,29.62657895250293,14.813289476251464
mp-aaaaaaaj,1.22,1.22,1.22,0.0,0.0,1.22,88.90585,88.90585,88.90585,0.0,0.0,88.90585,1.8,1.8,1.8,0.0,0.0,1.8,4.441319264922049 g cm^-3,3.0,3.0,3.0,0.0,0.0,3.0,3.609061,59.99998482000002,3.60906093,0.9999999806043732,59.99998537,3.60906043,0.9999998420641824,59.99998398000001,25.0,25.0,25.0,0.0,0.0,25.0,1,1,5.0,5.0,5.0,0.0,0.0,5.0,33.240491927767486,33.240491927767486
mp-aaaaaaak,2.18,2.18,2.18,0.0,0.0,2.18,74.9216,74.9216,74.9216,0.0,0.0,74.9216,1.15,1.15,1.15,0.0,0.0,1.15,6.29490868940051 g cm^-3,15.0,15.0,15.0,0.0,0.0,15.0,3.82358303,59.999998600000005,3.82358352,1.000000128152049,59.999994380000004,3.82358367,1.0000001673822683,60.00000546999998,89.0,89.0,89.0,0.0,0.0,89.0,1,2,4.0,4.0,4.0,0.0,0.0,4.0,39.52725920922823,19.763629604614113
mp-aaaaaaal,2.18,2.18,2.18,0.0,0.0,2.18,74.9216,74.9216,74.9216,0.0,0.0,74.9216,1.15,1.15,1.15,0.0,0.0,1.15,5.501314197607653 g cm^-3,15.0,15.0,15.0,0.0,0.0,15.0,4.29204665,51.878292710000004,4.29204706,1.0000000955255228,51.87830420000002,4.29204559,0.9999997530315753,51.87829137,89.0,89.0,89.0,0.0,0.0,89.0,1,2,4.0,4.0,4.0,0.0,0.0,4.0,45.229281318373204,22.614640659186602
mp-aaaaaaan,1.83,1.83,1.83,0.0,0.0,1.83,55.845,55.845,55.845,0.0,0.0,55.845,1.4,1.4,1.4,0.0,0.0,1.4,7.902858233571943 g cm^-3,8.0,8.0,8.0,0.0,0.0,8.0,2.4778130300000005,90.00003845,2.47780913,0.9999984260313617,90.00031951,4.05429521,1.636239361450125,109.46983668,61.0,61.0,61.0,0.0,0.0,61.0,1,2,4.0,4.0,4.0,0.0,0.0,4.0,23.46816846096036,11.73408423048018
mp-aaaaaaao,2.55,2.55,2.55,0.0,0.0,2.55,78.96,78.96,78.96,0.0,0.0,78.96,1.15,1.15,1.15,0.0,0.0,1.15,4.495590640009051 g cm^-3,16.0,16.0,16.0,0.0,0.0,16.0,4.50481872,89.99111843000001,4.50482269,1.0000008812785257,90.00451692000001,4.97879632,1.1052156877913168,120.00440378,93.0,93.0,93.0,0.0,0.0,93.0,1,3,4.0,4.0,4.0,0.0,0.0,4.0,87.49651060208987,29.165503534029956
mp-aaaaaaar,1.66,1.66,1.66,0.0,0.0,1.66,51.9961,51.9961,51.9961,0.0,0.0,51.9961,1.4,1.4,1.4,0.0,0.0,1.4,7.518781757180536 g cm^-3,6.0,6.0,6.0,0.0,0.0,6.0,4.51219083,90.0,4.51219083,1.0,90.0,4.51219083,1.0,90.0,57.0,57.0,57.0,0.0,0.0,57.0,1,8,4.0,4.0,4.0,0.0,0.0,4.0,91.86760105479368,11.48345013184921
mp-aaaaaaas,1.1,1.1,1.1,0.0,0.0,1.1,158.92535,158.92535,158.92535,0.0,0.0,158.92535,1.75,1.75,1.75,0.0,0.0,1.75,8.067236093072292 g cm^-3,3.0,3.0,3.0,0.0,0.0,3.0,3.67247543,90.0,3.6724764499999996,1.000000277741817,90.0,5.60143055,1.5252465691785444,120.00000073000001,26.0,26.0,26.0,0.0,0.0,26.0,1,2,6.0,6.0,6.0,0.0,0.0,6.0,65.42556813843663,32.712784069218316
