material_id,formula,bulk_modulus_vrh,shear_modulus_vrh
mp-aaaaaaab,Cs,1.974,0.604
mp-aaaaaaac,Pd,166.982,48.469
mp-aaaaaaad,Cs,1.717,1.609
mp-aaaaaaae,Nd,30.908,11.48
mp-aaaaaaah,S,1.874,1.075
mp-aaaaaaai,Re,365.046,168.04
mp-aaaaaaaj,Y,39.59,23.2
mp-aaaaaaak,As,79.731,32.38
mp-aaaaaaal,As,31.388,20.3
mp-aaaaaaan,Fe,207.093,67.563
mp-aaaaaaao,Se,4.123,10.032
mp-aaaaaaar,Cr,252.155,116.144
mp-aaaaaaas,Tb,38.449,23.903
mp-aaaaaaat,Te,19.355,14.952
mp-aaaaaaau,Be,125.076,111.454
mp-aaaaaaav,Ca,15.845,-6.284
mp-aaaaaaax,Ni,173.808,91.592
mp-aaaaaaay,C,387.827,510.742
mp-aaaaaaaz,N2,0.6920000000000001,0.309
mp-aaaaaaba,La,25.86,16.922
mp-aaaaaabb,Si,82.344,-14.386
mp-aaaaaabc,Ce,39.338,33.95
mp-aaaaaabe,Cu,151.394,49.843
mp-aaaaaabg,Ge,57.916,45.07
mp-aaaaaabh,Ru,310.062,193.869
mp-aaaaaabi,Si,106.499,56.749
mp-aaaaaabk,Sc,50.651,22.413
mp-aaaaaabl,Th,55.005,39.908
mp-aaaaaabm,Pr,32.216,19.899
mp-aaaaaabn,Tl,27.941,3.464
mp-aaaaaabp,Zr,88.4,1.932
mp-aaaaaabq,Ta,195.555,60.284
mp-aaaaaabs,U,147.81,113.597
mp-aaaaaabt,Ca,17.224,7.495
mp-aaaaaabu,Ti,112.944,48.257
mp-aaaaaabv,C,435.374,525.646
mp-aaaaaabw,C,115.976,89.734
mp-aaaaaabx,Os,400.41,244.666
mp-aaaaaaby,Ta,194.527,64.83
mp-aaaaaabz,Li,13.874,3.618
mp-aaaaaacb,P,98.196,-44.235
mp-aaaaaacc,Co,-1127.579,88.882
mp-aaaaaacd,Sn,46.694,5.892
mp-aaaaaace,Ba,8.259,4.782
